timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-25 23:47:02,30%,1003.12,1.00,1003.12
2026-04-25 23:47:02,50%,949.47,1.05,904.26
2026-04-25 23:47:02,70%,920.36,1.09,844.37
2026-04-25 23:47:02,90%,850.75,1.17,727.14
2026-04-25 23:48:48,30%,961.23,1.04,924.26
2026-04-25 23:48:48,50%,885.85,1.13,783.94
2026-04-25 23:48:48,70%,902.25,1.11,812.84
2026-04-25 23:48:48,90%,866.58,1.15,753.55
2026-04-26 00:02:47,30%,993.33,1.01,983.50
2026-04-26 00:02:47,40%,934.03,1.07,872.93
2026-04-26 00:02:47,50%,924.98,1.08,856.46
2026-04-26 00:02:47,60%,981.85,1.02,962.60
2026-04-26 00:02:47,70%,900.83,1.11,811.56
2026-04-26 00:02:47,80%,891.31,1.12,795.81
2026-04-26 00:02:47,90%,854.15,1.17,730.04
2026-04-26 00:34:26,30%,983.55,1.02,964.26
2026-04-26 00:34:26,40%,1015.00,0.98,1035.71
2026-04-26 00:34:26,50%,968.10,1.03,939.90
2026-04-26 00:34:26,60%,977.67,1.02,958.50
2026-04-26 00:34:26,70%,922.36,1.08,854.04
2026-04-26 00:34:26,80%,879.80,1.14,771.75
2026-04-26 00:34:26,90%,817.59,1.22,670.16
2026-04-26 01:06:04,30%,1017.88,0.98,1038.65
2026-04-26 01:06:04,40%,998.79,1.00,998.79
2026-04-26 01:06:04,50%,926.69,1.08,858.05
2026-04-26 01:06:04,60%,925.11,1.08,856.58
2026-04-26 01:06:04,70%,947.76,1.05,902.63
2026-04-26 01:06:04,80%,912.58,1.09,837.23
2026-04-26 01:06:04,90%,906.46,1.10,824.05
2026-04-26 01:37:42,30%,978.57,1.02,959.38
2026-04-26 01:37:42,40%,1021.96,0.98,1042.82
2026-04-26 01:37:42,50%,903.54,1.11,814.00
2026-04-26 01:37:42,60%,933.54,1.07,872.47
2026-04-26 01:37:42,70%,918.20,1.09,842.39
2026-04-26 01:37:42,80%,895.13,1.12,799.22
2026-04-26 01:37:42,90%,885.15,1.13,783.32
2026-04-26 02:09:21,30%,1014.43,0.98,1035.13
2026-04-26 02:09:21,40%,972.67,1.03,944.34
2026-04-26 02:09:21,50%,975.10,1.02,955.98
2026-04-26 02:09:21,60%,883.40,1.13,781.77
2026-04-26 02:09:21,70%,900.31,1.11,811.09
2026-04-26 02:09:21,80%,913.43,1.09,838.01
2026-04-26 02:09:21,90%,833.23,1.20,694.36
2026-04-26 02:40:59,30%,1007.12,0.99,1017.29
2026-04-26 02:40:59,40%,971.97,1.03,943.66
2026-04-26 02:40:59,50%,964.96,1.03,936.85
2026-04-26 02:40:59,60%,942.49,1.06,889.14
2026-04-26 02:40:59,70%,953.85,1.05,908.43
2026-04-26 02:40:59,80%,902.07,1.11,812.68
2026-04-26 02:40:59,90%,812.11,1.23,660.25
2026-04-26 03:12:37,30%,977.42,1.02,958.25
2026-04-26 03:12:37,40%,1035.03,0.97,1067.04
2026-04-26 03:12:37,50%,1034.81,0.97,1066.81
2026-04-26 03:12:37,60%,961.48,1.04,924.50
2026-04-26 03:12:37,70%,945.30,1.06,891.79
2026-04-26 03:12:37,80%,908.29,1.10,825.72
2026-04-26 03:12:37,90%,899.21,1.11,810.10
2026-04-26 03:44:16,30%,932.02,1.07,871.05
2026-04-26 03:44:16,40%,1054.75,0.95,1110.26
