timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-27 17:25:51,30%,2,1303.48,1.53,851.95
2026-04-27 17:25:51,40%,2,1116.52,1.79,623.75
2026-04-27 17:25:51,50%,2,928.65,2.15,431.93
2026-04-27 17:25:51,60%,2,923.72,2.16,427.65
2026-04-27 17:25:51,70%,2,906.58,2.20,412.08
2026-04-27 17:25:51,80%,2,898.56,2.22,404.76
2026-04-27 17:25:51,90%,2,868.15,2.30,377.46
2026-04-27 17:58:25,30%,2,1301.54,1.54,845.16
2026-04-27 17:58:25,40%,2,1115.55,1.79,623.21
2026-04-27 17:58:25,50%,2,931.46,2.15,433.24
2026-04-27 17:58:25,60%,2,911.36,2.19,416.15
2026-04-27 17:58:25,70%,2,690.35,2.89,238.88
2026-04-27 17:58:25,80%,2,903.37,2.21,408.76
2026-04-27 17:58:25,90%,2,867.84,2.30,377.32
2026-04-27 18:30:59,30%,2,1306.13,1.53,853.68
2026-04-27 18:30:59,40%,2,1113.63,1.79,622.14
2026-04-27 18:30:59,50%,2,925.65,2.16,428.54
2026-04-27 18:30:59,60%,2,910.72,2.20,413.96
2026-04-27 18:30:59,70%,2,905.37,2.21,409.67
2026-04-27 18:30:59,80%,2,869.66,2.30,378.11
2026-04-27 18:30:59,90%,2,867.20,2.30,377.04
2026-04-27 19:03:34,30%,2,1308.80,1.53,855.42
2026-04-27 19:03:34,40%,2,1113.63,1.79,622.14
2026-04-27 19:03:34,50%,2,925.91,2.16,428.66
2026-04-27 19:03:34,60%,2,912.92,2.19,416.86
2026-04-27 19:03:34,70%,2,908.98,2.20,413.17
2026-04-27 19:03:34,80%,2,881.65,2.27,388.39
2026-04-27 19:03:34,90%,2,909.34,2.20,413.34
2026-04-27 19:36:08,30%,2,1304.66,1.53,852.72
2026-04-27 19:36:08,40%,2,1117.52,1.79,624.31
2026-04-27 19:36:08,50%,2,919.29,2.17,423.64
2026-04-27 19:36:08,60%,2,911.99,2.19,416.43
2026-04-27 19:36:08,70%,2,916.93,2.18,420.61
2026-04-27 19:36:08,80%,2,910.03,2.20,413.65
2026-04-27 19:36:08,90%,2,868.62,2.30,377.66
2026-04-27 20:08:42,30%,2,1301.39,1.54,845.06
2026-04-27 20:08:42,40%,2,1113.25,1.80,618.47
2026-04-27 20:08:42,50%,2,910.62,2.20,413.92
2026-04-27 20:08:42,60%,2,921.63,2.17,424.71
2026-04-27 20:08:42,70%,2,914.30,2.19,417.49
2026-04-27 20:08:42,80%,2,914.56,2.19,417.61
2026-04-27 20:08:42,90%,2,914.80,2.19,417.72
2026-04-27 20:41:16,30%,2,1283.25,1.56,822.60
2026-04-27 20:41:16,40%,2,1112.53,1.80,618.07
2026-04-27 20:41:16,50%,2,927.90,2.15,431.58
2026-04-27 20:41:16,60%,2,911.38,2.19,416.16
2026-04-27 20:41:16,70%,2,925.18,2.16,428.32
2026-04-27 20:41:16,80%,2,903.59,2.21,408.86
2026-04-27 20:41:16,90%,2,914.96,2.18,419.71
2026-04-27 21:13:51,30%,2,1306.90,1.53,854.18
2026-04-27 21:13:51,40%,2,1117.84,1.79,624.49
2026-04-27 21:13:51,50%,2,921.75,2.17,424.77
2026-04-27 21:13:51,60%,2,905.99,2.20,411.81
2026-04-27 21:13:51,70%,2,875.27,2.28,383.89
2026-04-27 21:13:51,80%,2,915.09,2.18,419.77
2026-04-27 21:13:51,90%,2,910.68,2.19,415.84
2026-04-27 21:46:25,30%,2,1306.73,1.53,854.07
2026-04-27 21:46:25,40%,2,1112.59,1.80,618.11
2026-04-27 21:46:25,50%,2,929.46,2.15,432.31
2026-04-27 21:46:25,60%,2,920.90,2.17,424.38
2026-04-27 21:46:25,70%,2,904.11,2.21,409.10
2026-04-27 21:46:25,80%,2,901.08,2.22,405.89
2026-04-27 21:46:25,90%,2,904.16,2.21,409.12
2026-04-27 22:18:59,30%,2,1305.91,1.53,853.54
2026-04-27 22:18:59,40%,2,1110.87,1.80,617.15
2026-04-27 22:18:59,50%,2,921.16,2.17,424.50
2026-04-27 22:18:59,60%,2,912.62,2.19,416.72
2026-04-27 22:18:59,70%,2,916.11,2.18,420.23
2026-04-27 22:18:59,80%,2,869.25,2.30,377.93
2026-04-27 22:18:59,90%,2,905.29,2.21,409.63
2026-04-27 22:51:33,30%,2,1306.62,1.53,854.00
2026-04-27 22:51:33,40%,2,1106.24,1.81,611.18
2026-04-27 22:51:33,50%,2,922.08,2.17,424.92
2026-04-27 22:51:33,60%,2,902.59,2.21,408.41
2026-04-27 22:51:33,70%,2,906.02,2.21,409.96
2026-04-27 22:51:33,80%,2,911.38,2.19,416.16
2026-04-27 22:51:33,90%,2,901.73,2.22,406.18
2026-04-27 23:24:08,30%,2,1304.69,1.53,852.74
2026-04-27 23:24:08,40%,2,1112.06,1.80,617.81
2026-04-27 23:24:08,50%,2,922.52,2.17,425.12
2026-04-27 23:24:08,60%,2,899.69,2.22,405.27
2026-04-27 23:24:08,70%,2,904.91,2.21,409.46
2026-04-27 23:24:08,80%,2,906.77,2.20,412.17
2026-04-27 23:24:08,90%,2,903.52,2.21,408.83
2026-04-27 23:56:42,30%,2,1307.27,1.53,854.42
2026-04-27 23:56:42,40%,2,1103.75,1.81,609.81
2026-04-27 23:56:42,50%,2,924.70,2.16,428.10
2026-04-27 23:56:42,60%,2,919.22,2.17,423.60
2026-04-27 23:56:42,70%,2,912.05,2.19,416.46
2026-04-27 23:56:42,80%,2,913.20,2.19,416.99
2026-04-27 23:56:42,90%,2,908.34,2.20,412.88
2026-04-28 00:29:16,30%,2,1304.78,1.53,852.80
2026-04-28 00:29:16,40%,2,1116.99,1.79,624.02
2026-04-28 00:29:16,50%,2,926.18,2.16,428.79
2026-04-28 00:29:16,60%,2,921.91,2.17,424.84
2026-04-28 00:29:16,70%,2,908.49,2.20,412.95
2026-04-28 00:29:16,80%,2,911.67,2.19,416.29
2026-04-28 00:29:16,90%,2,909.22,2.20,413.28
2026-04-28 01:01:51,30%,2,1304.25,1.53,852.45
2026-04-28 01:01:51,40%,2,1108.28,1.80,615.71
2026-04-28 01:01:51,50%,2,924.50,2.16,428.01
2026-04-28 01:01:51,60%,2,911.95,2.19,416.42
2026-04-28 01:01:51,70%,2,915.35,2.18,419.89
2026-04-28 01:01:51,80%,2,918.41,2.18,421.29
2026-04-28 01:01:51,90%,2,905.54,2.21,409.75
2026-04-28 01:34:25,30%,2,1309.62,1.53,855.96
2026-04-28 01:34:25,40%,2,1107.42,1.81,611.83
2026-04-28 01:34:25,50%,2,926.39,2.16,428.88
2026-04-28 01:34:25,60%,2,870.83,2.29,380.28
2026-04-28 01:34:25,70%,2,902.66,2.21,408.44
2026-04-28 01:34:25,80%,2,911.84,2.19,416.37
2026-04-28 01:34:25,90%,2,908.37,2.20,412.90
2026-04-28 02:06:59,30%,2,1304.98,1.53,852.93
2026-04-28 02:06:59,40%,2,1115.99,1.79,623.46
2026-04-28 02:06:59,50%,2,927.29,2.15,431.30
2026-04-28 02:06:59,60%,2,912.85,2.19,416.83
2026-04-28 02:06:59,70%,2,868.60,2.30,377.65
2026-04-28 02:06:59,80%,2,912.43,2.19,416.63
2026-04-28 02:06:59,90%,2,900.39,2.22,405.58
2026-04-28 02:39:33,30%,2,1305.37,1.53,853.18
2026-04-28 02:39:33,40%,2,1116.17,1.79,623.56
2026-04-28 02:39:33,50%,2,927.13,2.16,429.23
2026-04-28 02:39:33,60%,2,908.40,2.20,412.91
2026-04-28 02:39:33,70%,2,914.41,2.19,417.54
2026-04-28 02:39:33,80%,2,869.12,2.30,377.88
2026-04-28 02:39:33,90%,2,910.31,2.20,413.78
2026-04-28 03:12:07,30%,2,1306.04,1.53,853.62
2026-04-28 03:12:07,40%,2,1108.09,1.80,615.61
2026-04-28 03:12:07,50%,2,925.34,2.16,428.40
2026-04-28 03:12:07,60%,2,905.63,2.21,409.79
2026-04-28 03:12:07,70%,2,910.61,2.20,413.91
2026-04-28 03:12:07,80%,2,914.05,2.19,417.37
2026-04-28 03:12:07,90%,2,909.99,2.20,413.63
