timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-27 17:56:41,30%,2,1213.82,1.64,740.13
2026-04-27 17:56:41,40%,2,1075.57,1.86,578.26
2026-04-27 17:56:41,50%,2,895.85,2.23,401.73
2026-04-27 17:56:41,60%,2,874.07,2.28,383.36
2026-04-27 17:56:41,70%,2,895.30,2.23,401.48
2026-04-27 17:56:41,80%,2,878.36,2.27,386.94
2026-04-27 17:56:41,90%,2,836.99,2.39,350.21
2026-04-27 18:29:15,30%,2,1188.81,1.68,707.62
2026-04-27 18:29:15,40%,2,1026.61,1.94,529.18
2026-04-27 18:29:15,50%,2,783.87,2.54,308.61
2026-04-27 18:29:15,60%,2,846.50,2.36,358.69
2026-04-27 18:29:15,70%,2,859.19,2.32,370.34
2026-04-27 18:29:15,80%,2,867.73,2.30,377.27
2026-04-27 18:29:15,90%,2,867.79,2.30,377.30
2026-04-27 19:01:49,30%,2,1152.65,1.73,666.27
2026-04-27 19:01:49,40%,2,1054.22,1.89,557.79
2026-04-27 19:01:49,50%,2,900.95,2.21,407.67
2026-04-27 19:01:49,60%,2,872.86,2.29,381.16
2026-04-27 19:01:49,70%,2,889.08,2.24,396.91
2026-04-27 19:01:49,80%,2,872.30,2.29,380.92
2026-04-27 19:01:49,90%,2,842.17,2.37,355.35
2026-04-27 19:34:24,30%,2,1197.41,1.67,717.01
2026-04-27 19:34:24,40%,2,891.86,2.24,398.15
2026-04-27 19:34:24,50%,2,868.59,2.30,377.65
2026-04-27 19:34:24,60%,2,813.45,2.45,332.02
2026-04-27 19:34:24,70%,2,804.62,2.48,324.44
2026-04-27 19:34:24,80%,2,813.82,2.45,332.17
2026-04-27 19:34:24,90%,2,840.23,2.37,354.53
2026-04-27 20:06:58,30%,2,1192.49,1.67,714.07
2026-04-27 20:06:58,40%,2,987.96,2.02,489.09
2026-04-27 20:06:58,50%,2,885.56,2.25,393.58
2026-04-27 20:06:58,60%,2,866.98,2.30,376.95
2026-04-27 20:06:58,70%,2,852.46,2.34,364.30
2026-04-27 20:06:58,80%,2,761.05,2.62,290.48
2026-04-27 20:06:58,90%,2,868.68,2.30,377.69
2026-04-27 20:39:32,30%,2,1231.01,1.62,759.88
2026-04-27 20:39:32,40%,2,846.67,2.36,358.76
2026-04-27 20:39:32,50%,2,802.91,2.49,322.45
2026-04-27 20:39:32,60%,2,828.99,2.41,343.98
2026-04-27 20:39:32,70%,2,862.13,2.31,373.22
2026-04-27 20:39:32,80%,2,798.07,2.50,319.23
2026-04-27 20:39:32,90%,2,834.23,2.39,349.05
2026-04-27 21:12:07,30%,2,1171.35,1.70,689.03
2026-04-27 21:12:07,40%,2,1017.80,1.96,519.29
2026-04-27 21:12:07,50%,2,856.30,2.33,367.51
2026-04-27 21:12:07,60%,2,852.03,2.34,364.12
2026-04-27 21:12:07,70%,2,839.92,2.38,352.91
2026-04-27 21:12:07,80%,2,833.80,2.39,348.87
2026-04-27 21:12:07,90%,2,818.09,2.44,335.28
2026-04-27 21:44:41,30%,2,1251.02,1.60,781.89
2026-04-27 21:44:41,40%,2,1071.13,1.86,575.88
2026-04-27 21:44:41,50%,2,903.06,2.21,408.62
2026-04-27 21:44:41,60%,2,863.69,2.31,373.89
2026-04-27 21:44:41,70%,2,865.65,2.31,374.74
2026-04-27 21:44:41,80%,2,873.28,2.29,381.34
2026-04-27 21:44:41,90%,2,864.30,2.31,374.16
2026-04-27 22:17:15,30%,2,1267.91,1.58,802.47
2026-04-27 22:17:15,40%,2,1100.81,1.81,608.18
2026-04-27 22:17:15,50%,2,912.54,2.19,416.68
2026-04-27 22:17:15,60%,2,919.63,2.17,423.79
2026-04-27 22:17:15,70%,2,884.52,2.26,391.38
2026-04-27 22:17:15,80%,2,917.45,2.18,420.85
2026-04-27 22:17:15,90%,2,900.19,2.22,405.49
2026-04-27 22:49:50,30%,2,1098.76,1.82,603.71
2026-04-27 22:49:50,40%,2,1060.16,1.88,563.91
2026-04-27 22:49:50,50%,2,879.80,2.27,387.58
2026-04-27 22:49:50,60%,2,897.24,2.22,404.16
2026-04-27 22:49:50,70%,2,853.87,2.34,364.90
2026-04-27 22:49:50,80%,2,867.82,2.30,377.31
2026-04-27 22:49:50,90%,2,889.15,2.24,396.94
2026-04-27 23:22:24,30%,2,1269.80,1.57,808.79
2026-04-27 23:22:24,40%,2,1072.68,1.86,576.71
2026-04-27 23:22:24,50%,2,902.53,2.21,408.38
2026-04-27 23:22:24,60%,2,869.42,2.30,378.01
2026-04-27 23:22:24,70%,2,866.77,2.30,376.86
2026-04-27 23:22:24,80%,2,865.90,2.30,376.48
2026-04-27 23:22:24,90%,2,875.07,2.28,383.80
2026-04-27 23:54:58,30%,2,1006.92,1.98,508.55
2026-04-27 23:54:58,40%,2,998.35,2.00,499.18
2026-04-27 23:54:58,50%,2,821.49,2.43,338.06
2026-04-27 23:54:58,60%,2,802.42,2.49,322.26
2026-04-27 23:54:58,70%,2,841.84,2.37,355.21
2026-04-27 23:54:58,80%,2,813.53,2.45,332.05
2026-04-27 23:54:58,90%,2,849.53,2.35,361.50
2026-04-28 00:27:33,30%,2,1220.76,1.63,748.93
2026-04-28 00:27:33,40%,2,970.70,2.06,471.21
2026-04-28 00:27:33,50%,2,828.11,2.41,343.61
2026-04-28 00:27:33,60%,2,818.17,2.44,335.32
2026-04-28 00:27:33,70%,2,837.99,2.38,352.10
2026-04-28 00:27:33,80%,2,881.60,2.27,388.37
2026-04-28 00:27:33,90%,2,774.04,2.58,300.02
2026-04-28 01:00:07,30%,2,922.83,2.16,427.24
2026-04-28 01:00:07,40%,2,952.55,2.09,455.77
2026-04-28 01:00:07,50%,2,741.89,2.69,275.80
2026-04-28 01:00:07,60%,2,803.43,2.48,323.96
2026-04-28 01:00:07,70%,2,818.16,2.44,335.31
2026-04-28 01:00:07,80%,2,810.47,2.46,329.46
2026-04-28 01:00:07,90%,2,813.57,2.45,332.07
2026-04-28 01:32:42,30%,2,1123.96,1.78,631.44
2026-04-28 01:32:42,40%,2,937.89,2.13,440.32
2026-04-28 01:32:42,50%,2,830.08,2.40,345.87
2026-04-28 01:32:42,60%,2,776.06,2.57,301.97
2026-04-28 01:32:42,70%,2,831.92,2.40,346.63
2026-04-28 01:32:42,80%,2,868.78,2.30,377.73
2026-04-28 01:32:42,90%,2,730.88,2.73,267.72
2026-04-28 02:05:16,30%,2,1222.71,1.63,750.13
2026-04-28 02:05:16,40%,2,1000.35,2.00,500.18
2026-04-28 02:05:16,50%,2,827.49,2.41,343.36
2026-04-28 02:05:16,60%,2,778.17,2.56,303.97
2026-04-28 02:05:16,70%,2,744.41,2.68,277.76
2026-04-28 02:05:16,80%,2,737.52,2.71,272.15
2026-04-28 02:05:16,90%,2,784.28,2.54,308.77
2026-04-28 02:37:50,30%,2,1104.35,1.81,610.14
2026-04-28 02:37:50,40%,2,1018.14,1.96,519.46
2026-04-28 02:37:50,50%,2,821.13,2.43,337.91
2026-04-28 02:37:50,60%,2,665.93,3.00,221.98
2026-04-28 02:37:50,70%,2,801.95,2.49,322.07
2026-04-28 02:37:50,80%,2,796.89,2.50,318.76
2026-04-28 02:37:50,90%,2,647.60,3.08,210.26
2026-04-28 03:10:25,30%,2,936.55,2.13,439.69
2026-04-28 03:10:25,40%,2,789.78,2.52,313.40
2026-04-28 03:10:25,50%,2,741.07,2.69,275.49
2026-04-28 03:10:25,60%,2,699.36,2.85,245.39
2026-04-28 03:10:25,70%,2,627.79,3.18,197.42
2026-04-28 03:10:25,80%,2,703.77,2.84,247.81
2026-04-28 03:10:25,90%,2,700.32,2.85,245.73
2026-04-28 03:42:59,30%,2,1081.40,1.85,584.54
2026-04-28 03:42:59,40%,2,956.22,2.09,457.52
2026-04-28 03:42:59,50%,2,715.26,2.79,256.37
2026-04-28 03:42:59,60%,2,757.12,2.63,287.88
2026-04-28 03:42:59,70%,2,778.72,2.56,304.19
