timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-28 04:32:28,30%,4,5385.75,0.74,7278.04
2026-04-28 04:32:28,40%,4,5189.59,0.77,6739.73
2026-04-28 04:32:28,50%,4,5016.50,0.80,6270.62
2026-04-28 04:32:28,60%,4,4769.73,0.84,5678.25
2026-04-28 04:32:28,70%,4,4562.60,0.88,5184.77
2026-04-28 04:32:28,80%,4,4342.34,0.92,4719.93
2026-04-28 04:32:28,90%,4,4326.10,0.92,4702.28
2026-04-28 05:05:03,30%,4,5349.63,0.75,7132.84
2026-04-28 05:05:03,40%,4,5188.41,0.77,6738.19
2026-04-28 05:05:03,50%,4,4981.56,0.80,6226.95
2026-04-28 05:05:03,60%,4,4776.01,0.84,5685.73
2026-04-28 05:05:03,70%,4,4506.78,0.89,5063.80
2026-04-28 05:05:03,80%,4,4299.88,0.93,4623.53
2026-04-28 05:05:03,90%,4,4328.27,0.92,4704.64
2026-04-28 05:37:37,30%,4,5426.68,0.74,7333.35
2026-04-28 05:37:37,40%,4,5201.99,0.77,6755.83
2026-04-28 05:37:37,50%,4,4989.81,0.80,6237.26
2026-04-28 05:37:37,60%,4,4748.60,0.84,5653.10
2026-04-28 05:37:37,70%,4,4530.20,0.88,5147.95
2026-04-28 05:37:37,80%,4,4316.69,0.93,4641.60
2026-04-28 05:37:37,90%,4,4192.74,0.95,4413.41
2026-04-28 06:10:11,30%,4,5418.73,0.74,7322.61
2026-04-28 06:10:11,40%,4,5138.63,0.78,6587.99
2026-04-28 06:10:11,50%,4,5014.14,0.80,6267.68
2026-04-28 06:10:11,60%,4,4786.25,0.83,5766.57
2026-04-28 06:10:11,70%,4,4539.53,0.88,5158.56
2026-04-28 06:10:11,80%,4,4326.30,0.92,4702.50
2026-04-28 06:10:11,90%,4,4246.06,0.94,4517.09
2026-04-28 06:42:46,30%,4,5388.09,0.74,7281.20
2026-04-28 06:42:46,40%,4,5192.26,0.77,6743.19
2026-04-28 06:42:46,50%,4,4939.41,0.81,6098.04
2026-04-28 06:42:46,60%,4,4778.63,0.84,5688.85
2026-04-28 06:42:46,70%,4,4597.38,0.87,5284.34
2026-04-28 06:42:46,80%,4,4352.65,0.92,4731.14
2026-04-28 06:42:46,90%,4,4192.85,0.95,4413.53
2026-04-28 07:15:20,30%,4,5386.95,0.74,7279.66
2026-04-28 07:15:20,40%,4,5129.61,0.78,6576.42
2026-04-28 07:15:20,50%,4,5025.15,0.79,6360.95
2026-04-28 07:15:20,60%,4,4792.32,0.83,5773.88
2026-04-28 07:15:20,70%,4,4574.28,0.87,5257.79
2026-04-28 07:15:20,80%,4,4344.37,0.92,4722.14
2026-04-28 07:15:20,90%,4,4527.31,0.88,5144.67
2026-04-28 07:47:55,30%,4,5496.24,0.73,7529.10
2026-04-28 07:47:55,40%,4,5221.34,0.77,6780.96
2026-04-28 07:47:55,50%,4,5002.67,0.80,6253.34
2026-04-28 07:47:55,60%,4,4825.69,0.83,5814.08
2026-04-28 07:47:55,70%,4,4521.32,0.88,5137.86
2026-04-28 07:47:55,80%,4,4419.05,0.90,4910.06
2026-04-28 07:47:55,90%,4,4204.24,0.95,4425.52
2026-04-28 08:20:29,30%,4,5413.82,0.74,7315.97
2026-04-28 08:20:29,40%,4,5165.95,0.77,6709.03
2026-04-28 08:20:29,50%,4,5001.17,0.80,6251.46
2026-04-28 08:20:29,60%,4,4772.77,0.84,5681.87
2026-04-28 08:20:29,70%,4,4537.39,0.88,5156.12
2026-04-28 08:20:29,80%,4,4380.62,0.91,4813.87
2026-04-28 08:20:29,90%,4,4243.05,0.94,4513.88
2026-04-28 08:53:03,30%,4,5404.10,0.74,7302.84
2026-04-28 08:53:03,40%,4,5264.75,0.76,6927.30
2026-04-28 08:53:03,50%,4,4971.81,0.80,6214.76
2026-04-28 08:53:03,60%,4,4790.83,0.83,5772.08
2026-04-28 08:53:03,70%,4,4514.92,0.89,5072.94
2026-04-28 08:53:03,80%,4,4335.77,0.92,4712.79
2026-04-28 08:53:03,90%,4,4207.54,0.95,4428.99
2026-04-28 09:25:38,30%,4,5333.15,0.75,7110.87
2026-04-28 09:25:38,40%,4,5207.50,0.77,6762.99
2026-04-28 09:25:38,50%,4,5023.79,0.80,6279.74
2026-04-28 09:25:38,60%,4,4795.66,0.83,5777.90
2026-04-28 09:25:38,70%,4,4478.33,0.89,5031.83
2026-04-28 09:25:38,80%,4,4305.04,0.93,4629.08
2026-04-28 09:25:38,90%,4,4254.00,0.94,4525.53
2026-04-28 09:58:12,30%,4,5476.34,0.73,7501.84
2026-04-28 09:58:12,40%,4,5292.59,0.76,6963.93
2026-04-28 09:58:12,50%,4,4913.39,0.81,6065.91
2026-04-28 09:58:12,60%,4,4735.49,0.84,5637.49
2026-04-28 09:58:12,70%,4,4531.37,0.88,5149.28
2026-04-28 09:58:12,80%,4,4352.57,0.92,4731.05
2026-04-28 09:58:12,90%,4,4038.97,0.99,4079.77
2026-04-28 10:30:47,30%,4,5360.45,0.75,7147.27
2026-04-28 10:30:47,40%,4,5205.24,0.77,6760.05
2026-04-28 10:30:47,50%,4,4993.72,0.80,6242.15
2026-04-28 10:30:47,60%,4,4813.44,0.83,5799.33
2026-04-28 10:30:47,70%,4,4518.11,0.88,5134.22
2026-04-28 10:30:47,80%,4,4351.15,0.92,4729.51
2026-04-28 10:30:47,90%,4,4658.42,0.86,5416.77
2026-04-28 11:03:21,30%,4,5475.30,0.73,7500.41
