timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-27 08:52:30,30%,4,2049.52,1.95,1051.04
2026-04-27 08:52:30,40%,4,1816.28,2.20,825.58
2026-04-27 08:52:30,50%,4,1713.78,2.33,735.53
2026-04-27 08:52:30,60%,4,1647.69,2.42,680.86
2026-04-27 08:52:30,70%,4,1551.48,2.57,603.69
2026-04-27 08:52:30,80%,4,1392.33,2.87,485.13
2026-04-27 08:52:30,90%,4,1390.24,2.87,484.40
2026-04-27 09:25:04,30%,4,2159.04,1.85,1167.05
2026-04-27 09:25:04,40%,4,2038.23,1.96,1039.91
2026-04-27 09:25:04,50%,4,1852.21,2.16,857.50
2026-04-27 09:25:04,60%,4,1701.95,2.35,724.23
2026-04-27 09:25:04,70%,4,1602.61,2.49,643.62
2026-04-27 09:25:04,80%,4,1482.96,2.69,551.29
2026-04-27 09:25:04,90%,4,1406.03,2.84,495.08
2026-04-27 09:57:39,30%,4,2172.75,1.84,1180.84
2026-04-27 09:57:39,40%,4,2024.75,1.97,1027.79
2026-04-27 09:57:39,50%,4,1856.97,2.15,863.71
2026-04-27 09:57:39,60%,4,1700.84,2.35,723.76
2026-04-27 09:57:39,70%,4,1511.97,2.64,572.72
2026-04-27 09:57:39,80%,4,1467.52,2.72,539.53
2026-04-27 09:57:39,90%,4,1414.13,2.82,501.46
2026-04-27 10:30:13,30%,4,2184.35,1.83,1193.63
2026-04-27 10:30:13,40%,4,2022.35,1.98,1021.39
2026-04-27 10:30:13,50%,4,1859.38,2.15,864.83
2026-04-27 10:30:13,60%,4,1709.97,2.34,730.76
2026-04-27 10:30:13,70%,4,1586.01,2.52,629.37
2026-04-27 10:30:13,80%,4,1469.57,2.72,540.28
2026-04-27 10:30:13,90%,4,1417.74,2.82,502.74
2026-04-27 11:02:47,30%,4,2164.13,1.84,1176.16
2026-04-27 11:02:47,40%,4,1987.40,2.01,988.76
2026-04-27 11:02:47,50%,4,1853.87,2.15,862.27
2026-04-27 11:02:47,60%,4,1710.93,2.34,731.17
2026-04-27 11:02:47,70%,4,1509.12,2.65,569.48
2026-04-27 11:02:47,80%,4,1458.68,2.74,532.36
2026-04-27 11:02:47,90%,4,1400.74,2.85,491.49
2026-04-27 11:35:22,30%,4,2207.01,1.81,1219.34
2026-04-27 11:35:22,40%,4,2015.05,1.98,1017.70
2026-04-27 11:35:22,50%,4,1865.57,2.14,871.76
2026-04-27 11:35:22,60%,4,1714.73,2.33,735.94
2026-04-27 11:35:22,70%,4,1598.59,2.50,639.44
2026-04-27 11:35:22,80%,4,1497.24,2.67,560.76
2026-04-27 11:35:22,90%,4,1400.19,2.85,491.29
2026-04-27 12:07:56,30%,4,2196.00,1.82,1206.59
2026-04-27 12:07:56,40%,4,2031.93,1.97,1031.44
2026-04-27 12:07:56,50%,4,1847.86,2.16,855.49
2026-04-27 12:07:56,60%,4,1719.42,2.32,741.13
2026-04-27 12:07:56,70%,4,1609.90,2.48,649.15
2026-04-27 12:07:56,80%,4,1491.65,2.68,556.59
2026-04-27 12:07:56,90%,4,1418.53,2.81,504.81
2026-04-27 12:40:31,30%,4,2201.33,1.81,1216.20
2026-04-27 12:40:31,40%,4,2017.74,1.98,1019.06
2026-04-27 12:40:31,50%,4,1880.60,2.12,887.08
2026-04-27 12:40:31,60%,4,1730.73,2.31,749.23
2026-04-27 12:40:31,70%,4,1603.09,2.49,643.81
2026-04-27 12:40:31,80%,4,1503.38,2.66,565.18
2026-04-27 12:40:31,90%,4,1382.35,2.89,478.32
2026-04-27 13:13:05,30%,4,2183.85,1.83,1193.36
2026-04-27 13:13:05,40%,4,2015.21,1.98,1017.78
