time,ip,status,avg_rtt_ms
2026-04-27 08:19:54,34.48.113.182,UP,60.843
2026-04-27 08:20:03,198.199.67.247,UP,59.535
2026-04-27 08:20:12,47.90.140.166,UP,69.990
2026-04-27 08:20:21,35.234.103.240,UP,142.965
2026-04-27 08:20:30,134.122.75.45,UP,156.050
2026-04-27 08:20:39,47.245.143.155,UP,151.651
2026-04-27 08:20:48,34.94.91.108,UP,8.782
2026-04-27 08:20:58,64.227.92.19,UP,0.040
2026-04-27 08:21:07,47.89.252.104,UP,3.316
2026-04-27 08:21:16,35.200.105.130,UP,108.650
2026-04-27 08:21:25,157.230.41.239,UP,174.930
2026-04-27 08:21:34,47.238.70.228,UP,158.237
2026-04-27 08:21:43,34.39.96.45,UP,131.708
2026-04-27 08:21:52,46.101.47.75,UP,142.651
2026-04-27 08:22:02,8.208.34.84,UP,136.373
2026-04-27 08:52:11,34.48.113.182,UP,61.031
2026-04-27 08:52:20,198.199.67.247,UP,59.490
2026-04-27 08:52:29,47.90.140.166,UP,69.995
2026-04-27 08:52:38,35.234.103.240,UP,144.114
2026-04-27 08:52:47,134.122.75.45,UP,154.628
2026-04-27 08:52:56,47.245.143.155,UP,151.677
2026-04-27 08:53:05,34.94.91.108,UP,9.549
2026-04-27 08:53:15,64.227.92.19,UP,0.041
2026-04-27 08:53:24,47.89.252.104,UP,3.311
2026-04-27 08:53:33,35.200.105.130,UP,108.884
2026-04-27 08:53:42,157.230.41.239,UP,174.970
2026-04-27 08:53:51,47.238.70.228,UP,157.519
2026-04-27 08:54:00,34.39.96.45,UP,131.915
2026-04-27 08:54:09,46.101.47.75,UP,142.652
2026-04-27 08:54:19,8.208.34.84,UP,136.380
2026-04-27 09:24:28,34.48.113.182,UP,61.781
2026-04-27 09:24:37,198.199.67.247,UP,59.495
2026-04-27 09:24:46,47.90.140.166,UP,69.987
2026-04-27 09:24:55,35.234.103.240,UP,142.232
2026-04-27 09:25:04,134.122.75.45,UP,154.826
2026-04-27 09:25:13,47.245.143.155,UP,151.682
2026-04-27 09:25:22,34.94.91.108,UP,8.772
2026-04-27 09:25:32,64.227.92.19,UP,0.038
2026-04-27 09:25:41,47.89.252.104,UP,3.310
2026-04-27 09:25:50,35.200.105.130,UP,108.942
2026-04-27 09:25:59,157.230.41.239,UP,175.030
2026-04-27 09:26:08,47.238.70.228,UP,153.179
2026-04-27 09:26:17,34.39.96.45,UP,131.980
2026-04-27 09:26:26,46.101.47.75,UP,142.682
2026-04-27 09:26:36,8.208.34.84,UP,136.348
2026-04-27 09:56:45,34.48.113.182,UP,61.072
2026-04-27 09:56:54,198.199.67.247,UP,59.537
2026-04-27 09:57:03,47.90.140.166,UP,70.006
2026-04-27 09:57:12,35.234.103.240,UP,143.361
2026-04-27 09:57:21,134.122.75.45,UP,154.481
2026-04-27 09:57:30,47.245.143.155,UP,151.657
2026-04-27 09:57:39,34.94.91.108,UP,9.530
2026-04-27 09:57:49,64.227.92.19,UP,0.037
2026-04-27 09:57:58,47.89.252.104,UP,3.334
2026-04-27 09:58:07,35.200.105.130,UP,108.664
2026-04-27 09:58:16,157.230.41.239,UP,174.994
2026-04-27 09:58:25,47.238.70.228,UP,153.292
2026-04-27 09:58:34,34.39.96.45,UP,131.882
2026-04-27 09:58:43,46.101.47.75,UP,142.675
2026-04-27 09:58:53,8.208.34.84,UP,136.369
2026-04-27 10:29:02,34.48.113.182,UP,61.546
2026-04-27 10:29:11,198.199.67.247,UP,59.549
2026-04-27 10:29:20,47.90.140.166,UP,73.901
2026-04-27 10:29:29,35.234.103.240,UP,143.109
2026-04-27 10:29:38,134.122.75.45,UP,154.554
2026-04-27 10:29:47,47.245.143.155,UP,151.665
2026-04-27 10:29:56,34.94.91.108,UP,9.275
2026-04-27 10:30:06,64.227.92.19,UP,0.042
2026-04-27 10:30:15,47.89.252.104,UP,3.330
2026-04-27 10:30:24,35.200.105.130,UP,108.738
2026-04-27 10:30:33,157.230.41.239,UP,175.571
2026-04-27 10:30:42,47.238.70.228,UP,154.183
2026-04-27 10:30:51,34.39.96.45,UP,131.727
2026-04-27 10:31:01,46.101.47.75,UP,142.582
2026-04-27 10:31:10,8.208.34.84,UP,136.326
2026-04-27 11:01:19,34.48.113.182,UP,60.870
2026-04-27 11:01:28,198.199.67.247,UP,59.527
2026-04-27 11:01:37,47.90.140.166,UP,73.902
2026-04-27 11:01:46,35.234.103.240,UP,143.367
2026-04-27 11:01:55,134.122.75.45,UP,154.453
2026-04-27 11:02:04,47.245.143.155,UP,151.676
2026-04-27 11:02:13,34.94.91.108,UP,9.348
2026-04-27 11:02:23,64.227.92.19,UP,0.037
2026-04-27 11:02:32,47.89.252.104,UP,3.304
2026-04-27 11:02:41,35.200.105.130,UP,109.410
2026-04-27 11:02:50,157.230.41.239,UP,174.923
2026-04-27 11:02:59,47.238.70.228,UP,156.054
2026-04-27 11:03:08,34.39.96.45,UP,133.473
2026-04-27 11:03:18,46.101.47.75,UP,142.752
2026-04-27 11:03:27,8.208.34.84,UP,136.336
2026-04-27 11:33:36,34.48.113.182,UP,61.645
2026-04-27 11:33:45,198.199.67.247,UP,59.500
2026-04-27 11:33:54,47.90.140.166,UP,69.968
2026-04-27 11:34:03,35.234.103.240,UP,142.685
2026-04-27 11:34:12,134.122.75.45,UP,154.472
2026-04-27 11:34:21,47.245.143.155,UP,151.671
2026-04-27 11:34:31,34.94.91.108,UP,9.206
2026-04-27 11:34:40,64.227.92.19,UP,0.035
2026-04-27 11:34:49,47.89.252.104,UP,3.294
2026-04-27 11:34:58,35.200.105.130,UP,108.558
2026-04-27 11:35:07,157.230.41.239,UP,175.207
2026-04-27 11:35:16,47.238.70.228,UP,153.049
2026-04-27 11:35:25,34.39.96.45,UP,133.471
2026-04-27 11:35:35,46.101.47.75,UP,143.112
2026-04-27 11:35:44,8.208.34.84,UP,136.325
2026-04-27 12:05:53,34.48.113.182,UP,62.541
2026-04-27 12:06:02,198.199.67.247,UP,59.482
2026-04-27 12:06:11,47.90.140.166,UP,70.129
2026-04-27 12:06:20,35.234.103.240,UP,141.967
2026-04-27 12:06:29,134.122.75.45,UP,154.513
2026-04-27 12:06:38,47.245.143.155,UP,151.670
2026-04-27 12:06:48,34.94.91.108,UP,9.961
2026-04-27 12:06:57,64.227.92.19,UP,0.039
2026-04-27 12:07:06,47.89.252.104,UP,3.326
2026-04-27 12:07:15,35.200.105.130,UP,108.424
2026-04-27 12:07:24,157.230.41.239,UP,174.964
2026-04-27 12:07:33,47.238.70.228,UP,150.362
2026-04-27 12:07:42,34.39.96.45,UP,133.502
2026-04-27 12:07:52,46.101.47.75,UP,142.654
2026-04-27 12:08:01,8.208.34.84,UP,136.350
2026-04-27 12:38:10,34.48.113.182,UP,61.292
2026-04-27 12:38:19,198.199.67.247,UP,59.575
2026-04-27 12:38:28,47.90.140.166,UP,69.999
2026-04-27 12:38:37,35.234.103.240,UP,142.332
2026-04-27 12:38:46,134.122.75.45,UP,154.617
2026-04-27 12:38:56,47.245.143.155,UP,151.634
2026-04-27 12:39:05,34.94.91.108,UP,9.651
2026-04-27 12:39:14,64.227.92.19,UP,0.037
