time,ip,status,avg_rtt_ms
2026-04-27 08:37:38,34.48.113.182,UP,75.308
2026-04-27 08:37:47,198.199.67.247,UP,70.464
2026-04-27 08:37:56,47.90.140.166,UP,76.844
2026-04-27 08:38:05,35.234.103.240,UP,14.968
2026-04-27 08:38:14,134.122.75.45,UP,15.398
2026-04-27 08:38:23,47.245.143.155,UP,14.928
2026-04-27 08:38:33,34.94.91.108,UP,136.031
2026-04-27 08:38:42,64.227.92.19,UP,132.508
2026-04-27 08:38:51,47.89.252.104,UP,133.305
2026-04-27 08:39:00,35.200.105.130,UP,217.932
2026-04-27 08:39:09,157.230.41.239,UP,226.423
2026-04-27 08:39:19,47.238.70.228,UP,248.180
2026-04-27 08:39:28,34.39.96.45,UP,0.656
2026-04-27 08:39:37,46.101.47.75,UP,2.568
2026-04-27 08:39:46,8.208.34.84,UP,5.509
2026-04-27 09:09:55,34.48.113.182,UP,76.237
2026-04-27 09:10:04,198.199.67.247,UP,72.035
2026-04-27 09:10:13,47.90.140.166,UP,75.299
2026-04-27 09:10:22,35.234.103.240,UP,14.800
2026-04-27 09:10:31,134.122.75.45,UP,14.861
2026-04-27 09:10:40,47.245.143.155,UP,14.781
2026-04-27 09:10:50,34.94.91.108,UP,136.023
2026-04-27 09:10:59,64.227.92.19,UP,132.259
2026-04-27 09:11:08,47.89.252.104,UP,133.067
2026-04-27 09:11:17,35.200.105.130,UP,218.357
2026-04-27 09:11:26,157.230.41.239,UP,229.825
2026-04-27 09:11:36,47.238.70.228,UP,245.252
2026-04-27 09:11:45,34.39.96.45,UP,0.857
2026-04-27 09:11:54,46.101.47.75,UP,2.894
2026-04-27 09:12:03,8.208.34.84,UP,4.566
2026-04-27 09:42:12,34.48.113.182,UP,76.235
2026-04-27 09:42:21,198.199.67.247,UP,71.697
2026-04-27 09:42:30,47.90.140.166,UP,75.715
2026-04-27 09:42:39,35.234.103.240,UP,13.003
2026-04-27 09:42:48,134.122.75.45,UP,14.984
2026-04-27 09:42:57,47.245.143.155,UP,14.332
2026-04-27 09:43:06,34.94.91.108,UP,136.646
2026-04-27 09:43:16,64.227.92.19,UP,132.493
2026-04-27 09:43:25,47.89.252.104,UP,132.652
2026-04-27 09:43:34,35.200.105.130,UP,215.484
2026-04-27 09:43:43,157.230.41.239,UP,229.841
2026-04-27 09:43:52,47.238.70.228,UP,246.436
2026-04-27 09:44:02,34.39.96.45,UP,0.752
2026-04-27 09:44:11,46.101.47.75,UP,2.561
2026-04-27 09:44:20,8.208.34.84,UP,4.624
2026-04-27 10:14:29,34.48.113.182,UP,75.490
2026-04-27 10:14:38,198.199.67.247,UP,72.405
2026-04-27 10:14:47,47.90.140.166,UP,75.889
2026-04-27 10:14:56,35.234.103.240,UP,12.750
2026-04-27 10:15:05,134.122.75.45,UP,15.278
2026-04-27 10:15:14,47.245.143.155,UP,14.587
2026-04-27 10:15:23,34.94.91.108,UP,136.709
2026-04-27 10:15:33,64.227.92.19,UP,132.099
2026-04-27 10:15:42,47.89.252.104,UP,133.152
2026-04-27 10:15:51,35.200.105.130,UP,215.851
2026-04-27 10:16:00,157.230.41.239,UP,229.986
2026-04-27 10:16:09,47.238.70.228,UP,243.697
2026-04-27 10:16:19,34.39.96.45,UP,0.702
2026-04-27 10:16:28,46.101.47.75,UP,2.926
2026-04-27 10:16:37,8.208.34.84,UP,4.587
2026-04-27 10:46:46,34.48.113.182,UP,75.240
2026-04-27 10:46:55,198.199.67.247,UP,71.070
2026-04-27 10:47:04,47.90.140.166,UP,77.095
2026-04-27 10:47:13,35.234.103.240,UP,13.541
2026-04-27 10:47:22,134.122.75.45,UP,14.742
2026-04-27 10:47:31,47.245.143.155,UP,14.205
2026-04-27 10:47:40,34.94.91.108,UP,136.934
2026-04-27 10:47:49,64.227.92.19,UP,131.275
2026-04-27 10:47:59,47.89.252.104,UP,132.257
2026-04-27 10:48:08,35.200.105.130,UP,216.614
2026-04-27 10:48:17,157.230.41.239,UP,229.828
2026-04-27 10:48:26,47.238.70.228,UP,246.251
2026-04-27 10:48:35,34.39.96.45,UP,0.836
2026-04-27 10:48:45,46.101.47.75,UP,4.367
2026-04-27 10:48:54,8.208.34.84,UP,5.361
2026-04-27 11:19:03,34.48.113.182,UP,75.772
2026-04-27 11:19:12,198.199.67.247,UP,72.069
2026-04-27 11:19:21,47.90.140.166,UP,75.450
2026-04-27 11:19:30,35.234.103.240,UP,13.383
2026-04-27 11:19:39,134.122.75.45,UP,15.513
2026-04-27 11:19:48,47.245.143.155,UP,14.911
