eqId=4077034325 gap=291ms
reqId=2197986370 gap=262ms
reqId=637705418 gap=213ms
reqId=469933134 gap=313ms
reqId=469933099 gap=383ms
reqId=2197986781 gap=257ms
reqId=469933994 gap=112ms
reqId=2197987351 gap=231ms
reqId=4077036232 gap=145ms
reqId=2197988392 gap=88ms
reqId=469935135 gap=191ms
reqId=469935218 gap=218ms
reqId=4077036796 gap=234ms
reqId=4077037464 gap=238ms
reqId=469936328 gap=172ms
reqId=637708971 gap=88ms
reqId=469936911 gap=128ms
reqId=469936858 gap=184ms
reqId=2197990102 gap=187ms
reqId=637709185 gap=175ms
reqId=2197990316 gap=156ms
reqId=2197990449 gap=248ms
reqId=469937669 gap=301ms
reqId=637709740 gap=336ms
reqId=637709981 gap=304ms
reqId=2197991402 gap=194ms
reqId=4077040042 gap=274ms
reqId=637710476 gap=391ms
reqId=2197992071 gap=317ms
reqId=4077040316 gap=295ms
reqId=637711081 gap=334ms
reqId=637711082 gap=390ms
reqId=469939519 gap=200ms
reqId=4077041084 gap=302ms
reqId=4077041420 gap=195ms
reqId=469940051 gap=388ms
reqId=2197993666 gap=318ms
reqId=637712561 gap=326ms
reqId=4077041488 gap=508ms
reqId=2197993640 gap=633ms
reqId=469940614 gap=568ms
reqId=637712853 gap=543ms
reqId=4077041871 gap=675ms
reqId=4077042707 gap=539ms
reqId=4077043099 gap=312ms
reqId=469942176 gap=196ms
reqId=4077043743 gap=186ms
reqId=469942670 gap=139ms
reqId=4077044036 gap=313ms
reqId=2197996625 gap=350ms
reqId=637715422 gap=387ms
reqId=637715500 gap=365ms
reqId=4077045149 gap=251ms
reqId=469943664 gap=322ms
reqId=2197996841 gap=345ms
reqId=2197997843 gap=215ms
reqId=637716848 gap=163ms
reqId=2197998022 gap=188ms
reqId=637717101 gap=181ms
reqId=4077046348 gap=396ms
reqId=4077046600 gap=371ms
reqId=2197998256 gap=432ms
reqId=2197998462 gap=505ms
reqId=4077046866 gap=496ms
reqId=637717673 gap=487ms
reqId=4077047568 gap=460ms
reqId=469946008 gap=517ms
reqId=2197999515 gap=399ms
reqId=469946595 gap=350ms
reqId=637718768 gap=353ms
reqId=637718995 gap=253ms
reqId=4077048256 gap=275ms
reqId=469947107 gap=93ms
reqId=637719181 gap=215ms
reqId=637719274 gap=204ms
reqId=4077048832 gap=190ms
reqId=637719713 gap=370ms
reqId=637719776 gap=475ms
reqId=2198001174 gap=430ms
reqId=4077049549 gap=534ms
reqId=4077049611 gap=514ms
reqId=469948288 gap=481ms
reqId=4077050343 gap=177ms
reqId=2198001808 gap=417ms
reqId=469948765 gap=298ms
reqId=2198001427 gap=649ms
reqId=469949239 gap=106ms
reqId=469949593 gap=161ms
reqId=2198003031 gap=95ms
reqId=469949803 gap=225ms
reqId=2198003146 gap=274ms
reqId=469950297 gap=496ms
reqId=4077052395 gap=354ms
reqId=2198004193 gap=406ms
reqId=4077052821 gap=352ms
reqId=4077053296 gap=243ms
reqId=2198005517 gap=178ms
reqId=637724099 gap=346ms
reqId=2198005505 gap=237ms
reqId=2198005594 gap=241ms
reqId=469952521 gap=188ms
reqId=637724601 gap=223ms
reqId=637724924 gap=167ms
reqId=4077054107 gap=230ms
reqId=2198006040 gap=201ms
reqId=637725132 gap=252ms
reqId=637725344 gap=208ms
reqId=2198006375 gap=353ms
reqId=637725865 gap=296ms
reqId=469953735 gap=363ms
reqId=469954017 gap=281ms
reqId=2198007243 gap=311ms
reqId=2198007226 gap=319ms
reqId=637726951 gap=89ms
reqId=469954374 gap=300ms
reqId=4077055992 gap=210ms
reqId=2198008158 gap=166ms
reqId=4077056405 gap=143ms
reqId=4077056512 gap=213ms
reqId=469955564 gap=90ms
