reqId=2986442051 gap=99ms
reqId=2382462419 gap=92ms
reqId=2986442633 gap=65ms
reqId=2382463377 gap=62ms
reqId=2382463463 gap=40ms
reqId=2986443638 gap=62ms
reqId=2382463873 gap=55ms
reqId=2986443890 gap=76ms
reqId=2382464568 gap=80ms
reqId=2986444493 gap=57ms
reqId=2986444468 gap=69ms
reqId=2382464742 gap=83ms
reqId=2382465707 gap=68ms
reqId=2382465924 gap=43ms
reqId=2382466056 gap=70ms
reqId=2986446056 gap=69ms
reqId=2986446350 gap=94ms
reqId=2986446412 gap=58ms
reqId=2382467095 gap=73ms
reqId=2986447342 gap=68ms
reqId=2382467594 gap=66ms
reqId=2986447434 gap=67ms
reqId=2382468003 gap=48ms
reqId=2382468165 gap=92ms
reqId=2986448121 gap=44ms
reqId=2382468543 gap=40ms
reqId=2986448457 gap=42ms
reqId=2986448546 gap=81ms
reqId=2986448588 gap=51ms
reqId=2986449045 gap=59ms
reqId=2986449940 gap=95ms
reqId=2382470483 gap=62ms
reqId=2986450315 gap=62ms
reqId=2382470640 gap=44ms
reqId=2382470691 gap=52ms
reqId=2382470671 gap=69ms
reqId=2382470698 gap=69ms
reqId=2382470673 gap=96ms
reqId=2986450659 gap=81ms
reqId=2986450868 gap=60ms
reqId=2382471307 gap=67ms
reqId=2382471461 gap=61ms
reqId=2986451338 gap=107ms
reqId=2382471662 gap=74ms
reqId=2382471854 gap=55ms
reqId=2986451798 gap=59ms
reqId=2382472033 gap=50ms
reqId=2382473038 gap=71ms
reqId=2986452813 gap=79ms
reqId=2986453412 gap=79ms
reqId=2986453535 gap=49ms
reqId=2382473966 gap=65ms
reqId=2986453925 gap=75ms
reqId=2382474290 gap=88ms
reqId=2986454265 gap=51ms
reqId=2986454284 gap=83ms
reqId=2986454551 gap=84ms
reqId=2986454649 gap=80ms
reqId=2382475059 gap=92ms
reqId=2382475090 gap=72ms
reqId=2382475245 gap=76ms
reqId=2382475386 gap=63ms
reqId=2382475934 gap=71ms
reqId=2382476240 gap=71ms
reqId=2382476276 gap=54ms
reqId=2986456092 gap=49ms
reqId=2382476513 gap=81ms
reqId=2986456661 gap=81ms
reqId=2382476921 gap=69ms
reqId=2382477223 gap=64ms
reqId=2382477305 gap=75ms
reqId=2986457517 gap=53ms
reqId=2986457499 gap=96ms
reqId=2382477877 gap=65ms
reqId=2382478195 gap=62ms
reqId=2382478172 gap=97ms
reqId=2986458005 gap=85ms
reqId=2986458952 gap=49ms
reqId=2986459023 gap=69ms
reqId=2986459124 gap=55ms
reqId=2986459330 gap=44ms
reqId=2382479693 gap=73ms
reqId=2382479762 gap=54ms
reqId=2382480058 gap=44ms
reqId=2986459949 gap=59ms
reqId=2986460304 gap=60ms
reqId=2382480826 gap=53ms
reqId=2986461291 gap=82ms
reqId=2986461462 gap=94ms
reqId=2986461652 gap=38ms
reqId=2986461606 gap=63ms
reqId=2986461632 gap=70ms
reqId=2382481930 gap=86ms
reqId=2986461888 gap=93ms
reqId=2382482127 gap=83ms
reqId=2986462549 gap=41ms
reqId=2382483408 gap=47ms
reqId=2986463670 gap=75ms
reqId=2986463731 gap=95ms
reqId=2986463810 gap=44ms
reqId=2986463868 gap=60ms
reqId=2986464051 gap=38ms
reqId=2986464178 gap=79ms
reqId=2986464176 gap=80ms
reqId=2986464281 gap=91ms
reqId=2986464713 gap=92ms
reqId=2986464933 gap=51ms
reqId=2986464918 gap=93ms
reqId=2986464926 gap=77ms
