2026-06-02 05:55:22,374 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:55:22, TargetIP: 47.245.142.28, GapTime: 175.20ms
2026-06-02 05:55:22,549 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:55:22, TargetIP: 47.245.142.28, GapTime: 174.78ms
2026-06-02 05:55:22,728 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:55:22, TargetIP: 47.245.142.28, GapTime: 179.21ms
2026-06-02 05:55:52,904 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:55:52, TargetIP: 47.245.142.28, GapTime: 175.10ms
2026-06-02 05:55:53,078 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:55:53, TargetIP: 47.245.142.28, GapTime: 173.48ms
2026-06-02 05:55:53,256 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:55:53, TargetIP: 47.245.142.28, GapTime: 177.71ms
2026-06-02 05:56:23,432 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:56:23, TargetIP: 47.245.142.28, GapTime: 175.38ms
2026-06-02 05:56:23,610 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:56:23, TargetIP: 47.245.142.28, GapTime: 177.09ms
2026-06-02 05:56:23,785 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:56:23, TargetIP: 47.245.142.28, GapTime: 174.68ms
2026-06-02 05:56:53,961 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:56:53, TargetIP: 47.245.142.28, GapTime: 175.92ms
2026-06-02 05:56:54,138 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:56:54, TargetIP: 47.245.142.28, GapTime: 176.73ms
2026-06-02 05:56:54,316 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:56:54, TargetIP: 47.245.142.28, GapTime: 177.24ms
2026-06-02 05:57:24,493 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:57:24, TargetIP: 47.245.142.28, GapTime: 176.58ms
2026-06-02 05:57:24,670 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:57:24, TargetIP: 47.245.142.28, GapTime: 176.06ms
2026-06-02 05:57:24,846 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:57:24, TargetIP: 47.245.142.28, GapTime: 175.71ms
2026-06-02 05:57:55,022 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:57:55, TargetIP: 47.245.142.28, GapTime: 175.38ms
2026-06-02 05:57:55,198 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:57:55, TargetIP: 47.245.142.28, GapTime: 175.89ms
2026-06-02 05:57:55,377 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:57:55, TargetIP: 47.245.142.28, GapTime: 178.47ms
2026-06-02 05:58:25,555 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:58:25, TargetIP: 47.245.142.28, GapTime: 178.24ms
2026-06-02 05:58:25,733 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:58:25, TargetIP: 47.245.142.28, GapTime: 177.57ms
2026-06-02 05:58:25,908 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:58:25, TargetIP: 47.245.142.28, GapTime: 174.82ms
2026-06-02 05:58:56,084 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:58:56, TargetIP: 47.245.142.28, GapTime: 175.19ms
2026-06-02 05:58:56,261 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:58:56, TargetIP: 47.245.142.28, GapTime: 176.75ms
2026-06-02 05:58:56,437 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:58:56, TargetIP: 47.245.142.28, GapTime: 175.68ms
2026-06-02 05:59:26,616 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:59:26, TargetIP: 47.245.142.28, GapTime: 178.52ms
2026-06-02 05:59:26,794 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:59:26, TargetIP: 47.245.142.28, GapTime: 177.33ms
2026-06-02 05:59:26,969 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:59:26, TargetIP: 47.245.142.28, GapTime: 174.58ms
2026-06-02 05:59:57,145 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:59:57, TargetIP: 47.245.142.28, GapTime: 175.21ms
2026-06-02 05:59:57,321 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:59:57, TargetIP: 47.245.142.28, GapTime: 176.17ms
2026-06-02 05:59:57,497 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:59:57, TargetIP: 47.245.142.28, GapTime: 175.66ms
