2026-06-02 05:55:15,722 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:55:15, TargetIP: 47.245.141.68, GapTime: 156.95ms
2026-06-02 05:55:15,879 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:55:15, TargetIP: 47.245.141.68, GapTime: 155.80ms
2026-06-02 05:55:16,033 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:55:16, TargetIP: 47.245.141.68, GapTime: 154.39ms
2026-06-02 05:55:46,189 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:55:46, TargetIP: 47.245.141.68, GapTime: 155.36ms
2026-06-02 05:55:46,345 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:55:46, TargetIP: 47.245.141.68, GapTime: 155.06ms
2026-06-02 05:55:46,501 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:55:46, TargetIP: 47.245.141.68, GapTime: 155.52ms
2026-06-02 05:56:16,657 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:56:16, TargetIP: 47.245.141.68, GapTime: 155.45ms
2026-06-02 05:56:16,814 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:56:16, TargetIP: 47.245.141.68, GapTime: 156.54ms
2026-06-02 05:56:16,969 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:56:16, TargetIP: 47.245.141.68, GapTime: 155.15ms
2026-06-02 05:56:47,126 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:56:47, TargetIP: 47.245.141.68, GapTime: 155.51ms
2026-06-02 05:56:47,280 - INFO - PayloadSize: 512B, Time: 2026-06-02 05:56:47, TargetIP: 47.245.141.68, GapTime: 154.35ms
2026-06-02 05:56:47,436 - INFO - PayloadSize: 1024B, Time: 2026-06-02 05:56:47, TargetIP: 47.245.141.68, GapTime: 154.68ms
2026-06-02 05:57:17,592 - INFO - PayloadSize: 128B, Time: 2026-06-02 05:57:17, TargetIP: 47.245.141.68, GapTime: 155.89ms
